LATITUDE,LONGITUDE,TAGS,LOBSTER_ID,RECAPTURE,CARAPACE_LENGTH,SEX,FEMALE_MATURITY,BERRIED_STATE,COLOUR,STATUS,WEIGHT,DEPTH,SHOT_DATE
-42.867183304,147.960566648,T234170,334989,N,134,M,,,R,R,,,19/11/2010
-42.867183304,147.960566648,T234169,334990,N,109,F,,,R,R,,,19/11/2010
-42.867183304,147.960566648,T234168,334991,N,108,M,,,R,R,,,19/11/2010
-42.867516645,147.960250028,T234173,334987,N,99,M,,,R,R,,,19/11/2010
-42.869283358,147.958716647,T234175,334984,N,107,M,,,R,R,,,19/11/2010
-42.869283358,147.958716647,T330839,310038,Y,191,M,,,R,R,,,19/11/2010
-42.869283358,147.958716647,T330458,309651,Y,171,M,,,R,R,,,19/11/2010
-42.869283358,147.958716647,T234174,334985,N,114,M,,,R,R,,,19/11/2010
-42.869499969,147.958400027,,,N,65,F,N,N,,R,,,19/11/2010
-42.870299975,147.957899984,T234180,334977,N,102,M,,,R,R,,,19/11/2010
-42.870416641,147.958316676,T234179,334978,N,129,F,,,R,R,,,19/11/2010
-42.870416641,147.958316676,T234178,334979,N,115,F,,,R,R,,,19/11/2010
-42.870416641,147.958316676,T234177,334980,N,108,F,,,R,R,,,19/11/2010
-42.870416641,147.958316676,T234176,334981,N,112,F,,,R,R,,,19/11/2010
-42.870883306,147.956100019,,,N,114,M,,,R,D,,,19/11/2010
-42.870883306,147.956100019,T234183,334974,N,113,F,,,R,R,,,19/11/2010
-42.870900027,147.957683309,T234182,334975,N,98,F,,,R,R,,,19/11/2010
-42.870900027,147.957683309,T234181,334976,N,98,F,,,R,R,,,19/11/2010
-42.871233304,147.95498333,T234186,334969,N,93,M,,,R,R,,,19/11/2010
-42.871233304,147.95498333,T234185,334970,N,114,F,,,R,R,,,19/11/2010
-42.871383349,147.95625,T234184,334972,N,122,F,,,R,R,,,19/11/2010
-42.871383349,147.95625,T330211,334973,N,160,M,,,R,R,,,19/11/2010
-42.871816635,147.954099973,T234191,334965,N,93,F,Y,N,R,R,,,19/11/2010
-42.871816635,147.954099973,T234190,334966,N,84,M,,,R,R,,,19/11/2010
-42.871816635,147.954099973,T234188,334967,N,93,F,,,R,R,,,19/11/2010
-42.871816635,147.954099973,T234187,334968,N,116,F,,,R,R,,,19/11/2010
-42.871916644,147.951916695,T234200,334955,N,149,M,,,,R,,,19/11/2010
-42.872066689,147.953166644,T234194,334962,N,90,F,Y,N,R,R,,,19/11/2010
-42.872066689,147.953166644,T234193,334963,N,131,F,Y,N,R,R,,,19/11/2010
-42.872066689,147.953166644,T234192,334964,N,113,F,Y,N,R,R,,,19/11/2010
-42.872266642,147.953499985,T234195,334961,N,101,F,Y,N,R,R,,,19/11/2010
-42.872333336,147.951683362,T234199,334956,N,108,F,Y,N,R,R,,,19/11/2010
-42.872333336,147.951683362,T234198,334957,N,102,F,Y,N,R,R,,,19/11/2010
-42.872333336,147.951683362,T234197,334958,N,142,M,,,R,R,,,19/11/2010
-42.872333336,147.951683362,T330454,309647,Y,174,M,,,R,R,,,19/11/2010
-42.872383308,147.952416674,T234196,334959,N,118,F,Y,N,R,R,,,19/11/2010
-42.872533353,147.950316683,T234165,334954,N,117,M,,,R,R,,,19/11/2010
-42.94959,147.3557244,T299487,278758,N,103,F,Y,N,R,R,,10,14/01/2008
-42.94959,147.3557244,TW253068,241215,Y,105,M,,,R,R,,10,14/01/2008
-42.94976,147.35541,T260041,285619,N,108,F,Y,YR,,R,,10,30/06/2008
-42.94976,147.35541,T260042,285620,N,104,F,Y,YR,,R,,10,30/06/2008
-42.94976,147.35541,T230814,250618,Y,101,F,Y,YR,,R,,10,30/06/2008
-42.94976,147.35541,TW250912,241109,Y,115,F,Y,YR,,R,,10,30/06/2008
-42.95005,147.3563328,T177415,199552,Y,144,M,,,R,R,,10,14/01/2008
-42.95005,147.3563328,TW253642,242408,Y,92,F,Y,N,R,R,,10,14/01/2008
-42.95005,147.3557222,T299520,278787,N,90,F,Y,N,R,R,,10,15/01/2008
-42.95005,147.3557222,T138246,158827,Y,120,F,Y,N,R,R,,10,15/01/2008
-42.95005,147.3557222,T299521,278788,N,122,F,Y,N,R,R,,10,15/01/2008
-42.95005,147.3557222,TW274507,267672,Y,81,F,Y,N,S,R,,10,15/01/2008
-42.95005,147.3557222,T299522,278789,N,109,F,Y,N,R,R,,10,15/01/2008
-42.95005,147.3557222,T299523,278790,N,101,F,Y,N,R,R,,10,15/01/2008
-42.95005,147.3557222,TW265448,266896,Y,,F,Y,N,S,R,,10,15/01/2008
-42.9501,147.3557,T284901,298982,N,93,F,Y,N,R,R,,10,2/02/2009
-42.9501,147.3557,T299813,299046,N,105,F,Y,N,R,R,,10,4/02/2009
-42.9501,147.3557,T284999,299047,N,158,M,,,R,R,,10,4/02/2009
-42.9501,147.3557,T223899,252956,Y,145,M,,,R,R,,10,4/02/2009
-42.9501,147.3557,T284998,299048,N,148,M,,,R,R,,10,4/02/2009
-42.9501,147.3557,T284997,299049,N,114,M,,,R,R,,10,4/02/2009
-42.9501,147.3557,T220707,252840,Y,113,F,Y,N,R,R,,10,4/02/2009
-42.95027,147.3564,T202969,226827,Y,122,M,,,R,R,,10,17/04/2007
-42.95027,147.3564,TW250958,241600,Y,104,M,,,R,R,,10,17/04/2007
-42.95048,147.35639,T260110,285775,N,114,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T260111,285776,N,100,F,Y,YR,R,R,,10,1/07/2008
-42.95048,147.35639,T260112,285777,N,134,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T260113,285778,N,131,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T209071,285369,Y,135,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T220708,252841,Y,142,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,TW274473,267638,Y,195,F,Y,YR,R,R,,10,1/07/2008
-42.95048,147.35639,T260114,285838,N,112,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T234101,253521,Y,157,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,TW253002,241150,Y,120,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T228667,249122,Y,121,M,,,R,R,,10,1/07/2008
-42.95048,147.35639,T260115,285780,N,93,F,Y,YR,R,R,,10,1/07/2008
-42.95048,147.35639,T260116,285781,N,113,F,Y,YR,R,R,,10,1/07/2008
-42.95048,147.35639,T161903,192485,Y,124,F,Y,YR,R,R,,10,2/07/2008
-42.95048,147.35639,T260117,285782,Y,125,M,,,R,R,,10,2/07/2008
-42.95048,147.35639,TW265044,265976,Y,89,F,Y,YR,R,R,,10,2/07/2008
-42.95048,147.35639,T235442,257503,Y,100,F,Y,YR,R,R,,10,2/07/2008
-42.95048,147.35639,T253466,242282,Y,102,F,Y,YR,R,R,,10,2/07/2008
-42.95048,147.35639,TW265746,267168,Y,90,F,N,,R,R,,10,2/07/2008
-42.95048,147.35639,T260155,285850,N,,F,Y,N,R,R,,10,2/07/2008
-42.9505,147.3569469,T202914,226891,Y,146,M,,,R,R,,10,14/01/2008
-42.9505,147.3569469,T299488,278759,N,175,M,,,R,R,,10,14/01/2008
-42.9505,147.356333,T234101,253521,Y,157,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,T159067,182833,Y,118,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T240114,253377,Y,158,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,T239083,255247,Y,136,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,TW250968,241609,Y,99,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T168972,213770,Y,123,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T228642,249090,Y,102,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T166872,253241,Y,164,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,TW265682,267018,Y,85,F,Y,N,S,R,,10,15/01/2008
-42.9505,147.356333,T177018,198783,Y,138,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T177100,198878,Y,117,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,TW250735,241527,Y,106,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,TW253068,241215,Y,106,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,T299524,278791,N,106,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.356333,T235275,253479,Y,125,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,T220708,252841,Y,141,M,,,R,R,,10,15/01/2008
-42.9505,147.356333,T299525,278792,N,100,F,Y,N,R,R,,10,15/01/2008
-42.9505,147.3563,,,N,166,M,,,R,D,,10,2/02/2009
-42.9505,147.3563,T284996,299051,N,144,M,,,R,R,,10,4/02/2009
-42.9505,147.3563,T284995,299052,N,161,M,,,R,R,,10,4/02/2009
-42.9505,147.3563,T299522,278789,Y,113,F,Y,N,R,R,,10,4/02/2009
-42.9505,147.3563,T284992,299053,N,100,F,Y,N,R,R,,10,4/02/2009
-42.9505,147.3563,T284989,299054,N,106,M,,,R,R,,10,4/02/2009
-42.9505,147.3563,T228492,248828,Y,101,F,Y,N,R,R,,10,4/02/2009
-42.9505,147.3563,T284986,299055,N,163,M,,,R,R,,10,4/02/2009
-42.9505,147.3563,T284985,299056,N,124,M,,,R,R,,10,4/02/2009
-42.950503,147.3563328,TW253002,241150,Y,139,M,,,R,R,,,18/05/2010
-42.950503,147.3563328,TW250095,240588,Y,146,M,,,R,R,,,18/05/2010
-42.950503,147.3563328,T152758,176866,Y,124,F,Y,Y,R,R,,,18/05/2010
-42.950503,147.3563328,TW265422,266870,Y,109,F,Y,Y,R,R,,,18/05/2010
-42.95077,147.3564,T237915,255730,N,167,M,,,R,R,,10,18/04/2007
-42.95077,147.3564,T237916,255731,N,123,F,Y,N,R,R,,10,18/04/2007
-42.95077,147.3564,T235084,251437,Y,137,M,,,R,R,,10,18/04/2007
-42.95077,147.3564,T237917,255732,N,85,F,Y,N,R,R,,10,18/04/2007
-42.9508,147.3564,T228811,249325,Y,107,F,,,RP,R,,10,19/04/2007
-42.9508,147.3564,T237930,255744,N,120,M,,,R,R,,10,19/04/2007
-42.9508,147.3564,T237931,255745,N,99,M,,,R,R,,10,19/04/2007
-42.9508,147.3564,T237932,255746,N,89,F,Y,N,R,R,,10,19/04/2007
-42.9508,147.3564,T206228,213325,Y,107,F,Y,N,R,R,,10,19/04/2007
-42.9508,147.3564,,,N,113,M,,,R,D,,10,19/04/2007
-42.9508,147.3564,TW253070,241986,Y,87,F,,,R,R,,10,19/04/2007
-42.95084,147.356,T237598,251476,Y,171,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T260033,285556,N,113,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T260034,285557,N,122,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T223681,252754,Y,169,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T214906,227039,Y,151,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T165065,192980,Y,126,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T260035,285558,N,118,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T163686,191832,Y,126,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T260036,285559,N,97,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T260037,285560,N,100,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T260038,285561,N,107,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T235406,257468,Y,116,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T177025,198770,Y,104,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,TW250944,241141,Y,98,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T240215,253434,Y,149,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T177020,198765,Y,116,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T228612,248999,Y,124,M,,,R,R,,10,30/06/2008
-42.95084,147.356,TW265693,267029,Y,93,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T202916,226894,Y,105,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.356,T260039,285562,N,79,M,,,R,R,,10,30/06/2008
-42.95084,147.356,T260040,285563,N,95,F,Y,YR,R,R,,10,30/06/2008
-42.95084,147.3564,T237596,251474,Y,133,M,,,R,R,,10,1/07/2008
-42.95084,147.35689,T161994,192862,Y,109,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,T223799,252797,Y,139,M,,,,R,,10,1/07/2008
-42.95084,147.35689,T260117,285782,N,125,M,,,,R,,10,1/07/2008
-42.95084,147.35689,TW265746,267168,Y,90,F,N,,,R,,10,1/07/2008
-42.95084,147.35689,T233881,255655,Y,135,M,,,,R,,10,1/07/2008
-42.95084,147.35689,T234114,253535,Y,129,M,,,,R,,10,1/07/2008
-42.95084,147.35689,TW253169,242035,Y,97,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,TW274309,268533,Y,89,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,T149616,176062,Y,119,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,T177203,199231,Y,168,M,,,,R,,10,1/07/2008
-42.95084,147.35689,T209244,226996,Y,128,M,,,,R,,10,1/07/2008
-42.95084,147.35689,T260118,285783,N,88,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,TW274526,267689,Y,92,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,TW274269,267738,Y,85,F,N,,,R,,10,1/07/2008
-42.95084,147.35689,T260119,285784,N,97,F,Y,YR,,R,,10,1/07/2008
-42.95084,147.35689,TW265234,266211,Y,95,F,N,,,R,,10,1/07/2008
-42.95084,147.35689,T235056,251416,Y,147,M,,,,R,,10,2/07/2008
-42.95084,147.35689,P260156,285851,N,91,M,,,,R,,10,2/07/2008
-42.95084,147.35689,T177303,199411,Y,147,M,,,,R,,10,2/07/2008
-42.95084,147.35689,TW265486,266934,Y,93,F,N,,,R,,10,2/07/2008
-42.95084,147.35689,T202964,226822,Y,102,F,Y,YR,,R,,10,2/07/2008
-42.95084,147.35689,T240148,253397,Y,118,M,,,,R,,10,2/07/2008
-42.95084,147.35689,TW265189,266072,Y,92,F,N,,,R,,10,2/07/2008
-42.95084,147.35689,P260157,285852,N,95,F,Y,YR,,R,,10,2/07/2008
-42.95084,147.35689,T166864,253233,Y,140,M,,,,R,,10,2/07/2008
-42.95084,147.35689,P260158,285853,N,91,M,,,,R,,10,2/07/2008
-42.95084,147.35689,,,N,69,F,N,,,R,,10,2/07/2008
-42.95084,147.35689,T202892,226972,Y,120,F,Y,YR,,R,,10,2/07/2008
-42.95084,147.35689,TW265443,266891,Y,82,F,N,,,R,,10,2/07/2008
-42.95084453,147.3567193,T112137,156470,Y,130,F,Y,YR,R,R,,10,26/09/2006
-42.95084453,147.3567193,T240149,253396,N,111,F,Y,YR,R,R,,10,26/09/2006
-42.95084453,147.3567193,T235084,251437,Y,132,M,,,R,R,,10,26/09/2006
-42.95084453,147.3567193,T206303,213370,Y,138,M,,,R,R,,10,26/09/2006
-42.95084453,147.3567193,T107769,136347,Y,125,F,Y,YR,R,R,,10,26/09/2006
-42.95084705,147.35671,T166889,253255,Y,93,F,Y,YR,R,R,,10,26/09/2006
-42.95084705,147.35671,T202766,226483,Y,95,F,Y,YR,R,R,,10,26/09/2006
-42.95084705,147.35671,T240148,253397,N,98,M,,,R,R,,10,26/09/2006
-42.95084705,147.35671,T240147,253398,N,140,M,,,R,R,,10,26/09/2006
-42.95084705,147.35671,T240146,253399,N,124,M,,,R,R,,10,26/09/2006
-42.95088,147.3566,T166888,253254,Y,116,M,,,R,R,,10,17/04/2007
-42.9509,147.3564,T223970,253133,Y,132,M,,,R,R,,10,20/04/2007
-42.9509,147.3564,T168915,213723,Y,115,F,Y,N,R,R,,10,20/04/2007
-42.9509,147.3564,T152571,176537,Y,112,F,Y,N,R,R,,10,20/04/2007
-42.9509,147.3564,T230074,249786,Y,86,F,,,R,R,,10,20/04/2007
-42.9509,147.3564,T228581,248966,Y,116,M,,,R,R,,10,20/04/2007
-42.95091,147.3567109,T240212,253431,N,111,M,,,,R,,10,28/09/2006
-42.95093,147.35405,T234006,251179,N,146,M,,,R,R,,10,27/02/2006
-42.95093,147.35405,T230279,250037,Y,89,F,Y,,RP,R,,10,1/03/2006
-42.95095,147.3565,T240147,253398,Y,147,M,,,R,R,,10,18/04/2007
-42.95095,147.3565,T223732,252773,Y,121,M,,,R,R,,10,18/04/2007
-42.950956,147.3569469,T235083,251436,Y,147,M,,,R,R,,,18/05/2010
-42.950956,147.3569469,T112354,158174,Y,132,F,Y,Y,R,R,,,18/05/2010
-42.950956,147.3569469,T286282,333112,N,92,F,N,N,R,R,,,18/05/2010
-42.95096,147.3569444,T202914,226891,Y,146,M,,,R,R,,10,15/01/2008
-42.95096,147.3569444,T232338,250934,Y,107,F,Y,N,R,R,,10,15/01/2008
-42.95096,147.3569444,T235883,257543,Y,90,F,Y,N,R,R,,10,15/01/2008
